,Tamanho_msg_caracteres,Tamanho_msg_MB,Tempo_gasto_ms,Memoria_gasta_MB
95,475000,0.45,13.948600040748715,1.359375
96,480000,0.46,14.218299998901784,1.8359375
97,485000,0.46,14.331899932585657,1.85546875
98,490000,0.47,14.468800043687224,1.40234375
99,495000,0.47,14.5388999953866,1.890625
100,500000,0.48,14.757499913685024,1.9140625
101,505000,0.48,14.939300017431378,1.4453125
102,510000,0.49,14.872799976728857,1.94921875
103,515000,0.49,15.358799952082336,1.96875
104,520000,0.50,15.314199961721897,1.48828125
105,525000,0.50,15.582899912260473,1.50390625
106,530000,0.51,15.565000008791685,1.015625
107,535000,0.51,15.384900034405291,1.53515625
108,540000,0.51,15.722000040113926,1.03515625
109,545000,0.52,15.749700018204749,1.5625
110,550000,0.52,16.372799989767373,1.05859375
111,555000,0.53,16.03509997949004,1.06640625
112,560000,0.53,16.058500041253865,1.60546875
113,565000,0.54,16.36590005364269,1.08203125
114,570000,0.54,16.737199970521033,0.01953125
115,575000,0.55,18.22069997433573,1.6484375
116,580000,0.55,17.116100061684847,1.1171875
117,585000,0.56,19.408199936151505,1.12109375
118,590000,0.56,16.86800003517419,0.0234375
119,595000,0.57,16.91959996242076,1.70703125
120,600000,0.57,17.432300024665892,1.15234375
121,605000,0.58,17.409199965186417,1.1640625
122,610000,0.58,17.60430005379021,1.734375
123,615000,0.59,17.76449999306351,1.1796875
124,620000,0.59,18.041200004518032,1.19140625
125,625000,0.60,17.776699969545007,1.19921875
126,630000,0.60,18.151499913074076,1.2109375
127,635000,0.61,17.670199973508716,1.8203125
128,640000,0.61,18.173699965700507,1.23046875
129,645000,0.62,17.888000002130866,1.83984375
130,650000,0.62,18.578500021249056,1.24609375
131,655000,0.62,21.50999999139458,1.25390625
132,660000,0.63,21.219099988229573,1.88671875
133,665000,0.63,18.985599977895617,1.2734375
134,670000,0.64,19.6579999756068,1.28515625
135,675000,0.64,18.93909997306764,1.921875
136,680000,0.65,19.696900038979948,1.3046875
137,685000,0.65,20.727099967189133,1.96484375
138,690000,0.66,19.51729995198548,1.32421875
139,695000,0.66,21.17960003670305,1.33203125
140,700000,0.67,19.528200034983456,2.00390625
141,705000,0.67,19.982800004072487,1.3515625
142,710000,0.68,19.92300001438707,2.02734375
143,715000,0.68,19.81029997114092,2.05078125
144,720000,0.69,20.322599913924932,1.37890625
145,725000,0.69,20.913499989546835,1.390625
146,730000,0.70,20.38359991274774,2.0859375
147,735000,0.70,22.529100067913532,2.10546875
148,740000,0.71,20.726799964904785,1.41796875
149,745000,0.71,22.533299983479083,1.42578125
150,750000,0.72,20.69350006058812,2.14453125
151,755000,0.72,21.353700081817806,1.4453125
152,760000,0.72,21.686000050976872,1.45703125
153,765000,0.73,20.775599987246096,2.1796875
154,770000,0.73,21.67719998396933,1.47265625
155,775000,0.74,21.941800019703805,1.484375
156,780000,0.74,21.506399963982403,1.4921875
157,785000,0.75,22.647200035862625,1.50390625
